区站号,纬度,经度,观测场拔海高度,年,月,平均相对湿度
50136.0,52.58,122.31,438.5,2017.0,9.0,0.7256666666666667
50137.0,53.28,122.23,296.0,2017.0,9.0,0.7753333333333333
50246.0,52.21,124.43,361.90000000000003,2017.0,9.0,0.7553333333333333
50247.0,52.02,123.34,514.5,2017.0,9.0,0.7586666666666666
50349.0,51.4,124.24,501.5,2017.0,9.0,0.7713333333333334
50353.0,51.44,126.38,173.9,2017.0,9.0,0.7413333333333334
50425.0,50.15,120.11,581.4,2017.0,9.0,0.6613333333333334
50431.0,50.47,121.31,717.0,2017.0,9.0,0.7320000000000001
50434.0,50.29,121.41,732.6,2017.0,9.0,0.7163333333333334
50442.0,50.24,124.07,371.70000000000005,2017.0,9.0,0.755
50445.0,50.35,123.44,423.70000000000005,2017.0,9.0,0.7556666666666666
50468.0,50.15,127.28,166.4,2017.0,9.0,0.7456666666666666
50514.0,49.35,117.19,661.8000000000001,2017.0,9.0,0.5943333333333333
50524.0,49.19,119.26,576.6,2017.0,9.0,0.6459999999999999
50525.0,49.09,119.45,620.8000000000001,2017.0,9.0,0.604
50526.0,49.17,120.42,668.8000000000001,2017.0,9.0,0.6786666666666666
50527.0,49.15,119.42,649.6,2017.0,9.0,0.6096666666666667
50548.0,49.12,123.43,286.1,2017.0,9.0,0.706
50557.0,49.1,125.14,242.20000000000002,2017.0,9.0,0.7390000000000001
50564.0,49.27,127.22,234.5,2017.0,9.0,0.7356666666666667
50566.0,49.33,128.28,116.0,2017.0,9.0,0.7523333333333334
50603.0,48.41,116.49,542.4,2017.0,9.0,0.56
50618.0,48.13,118.16,642.0,2017.0,9.0,0.5093333333333333
50632.0,48.46,121.55,739.7,2017.0,9.0,0.6853333333333333
50639.0,48.0,122.44,306.5,2017.0,9.0,0.6900000000000001
50645.0,48.29,124.29,195.0,2017.0,9.0,0.6713333333333334
50646.0,48.3,124.52,202.8,2017.0,9.0,0.6986666666666667
50647.0,48.08,123.29,236.20000000000002,2017.0,9.0,0.6726666666666666
50655.0,48.3,126.11,266.8,2017.0,9.0,0.753
50656.0,48.15,126.3,278.40000000000003,2017.0,9.0,0.746
50658.0,48.03,125.53,236.0,2017.0,9.0,0.6753333333333333
50659.0,48.03,126.14,297.0,2017.0,9.0,0.6940000000000001
