区站号,纬度,经度,观测场拔海高度,年,月,日照时数
50136.0,52.58,122.31,438.5,2017.0,9.0,5.823333333333334
50137.0,53.28,122.23,296.0,2017.0,9.0,5.8933333333333335
50246.0,52.21,124.43,361.90000000000003,2017.0,9.0,6.286666666666667
50247.0,52.02,123.34,514.5,2017.0,9.0,5.826666666666667
50349.0,51.4,124.24,501.5,2017.0,9.0,5.960000000000001
50353.0,51.44,126.38,173.9,2017.0,9.0,6.133333333333334
50425.0,50.15,120.11,581.4,2017.0,9.0,6.336666666666667
50431.0,50.47,121.31,717.0,2017.0,9.0,6.526666666666667
50434.0,50.29,121.41,732.6,2017.0,9.0,6.58
50442.0,50.24,124.07,371.70000000000005,2017.0,9.0,6.7633333333333345
50445.0,50.35,123.44,423.70000000000005,2017.0,9.0,6.483333333333333
50468.0,50.15,127.28,166.4,2017.0,9.0,5.53
50514.0,49.35,117.19,661.8000000000001,2017.0,9.0,7.41
50524.0,49.19,119.26,576.6,2017.0,9.0,8.16
50525.0,49.09,119.45,620.8000000000001,2017.0,9.0,8.153333333333334
50526.0,49.17,120.42,668.8000000000001,2017.0,9.0,6.3100000000000005
50527.0,49.15,119.42,649.6,2017.0,9.0,8.03
50548.0,49.12,123.43,286.1,2017.0,9.0,6.753333333333334
50557.0,49.1,125.14,242.20000000000002,2017.0,9.0,6.866666666666667
50564.0,49.27,127.22,234.5,2017.0,9.0,6.323333333333334
50566.0,49.33,128.28,116.0,2017.0,9.0,5.460000000000001
50603.0,48.41,116.49,542.4,2017.0,9.0,8.450000000000001
50618.0,48.13,118.16,642.0,2017.0,9.0,6.943333333333334
50632.0,48.46,121.55,739.7,2017.0,9.0,7.423333333333334
50639.0,48.0,122.44,306.5,2017.0,9.0,7.163333333333334
50645.0,48.29,124.29,195.0,2017.0,9.0,7.290000000000001
50646.0,48.3,124.52,202.8,2017.0,9.0,6.293333333333333
50647.0,48.08,123.29,236.20000000000002,2017.0,9.0,6.773333333333333
50655.0,48.3,126.11,266.8,2017.0,9.0,7.026666666666667
50656.0,48.15,126.3,278.40000000000003,2017.0,9.0,6.356666666666667
50658.0,48.03,125.53,236.0,2017.0,9.0,6.183333333333334
50659.0,48.03,126.14,297.0,2017.0,9.0,7.503333333333334
50673.0,48.53,130.24,90.4,2017.0,9.0,6.086666666666667
50674.0,48.34,129.26,404.5,2017.0,9.0,6.646666666666667
50727.0,47.1,119.56,997.2,2017.0,9.0,6.803333333333334
50739.0,47.18,123.15,209.3,2017.0,9.0,7.813333333333334
50741.0,47.56,123.3,185.20000000000002,2017.0,9.0,8.423333333333334
50742.0,47.48,124.29,162.70000000000002,2017.0,9.0,6.633333333333333
50745.0,47.23,123.55,147.1,2017.0,9.0,7.78
