区站号,纬度,经度,观测场拔海高度,年,月,平均气温
50136.0,52.58,122.31,438.5,2017.0,2.0,-19.117857142857144
50137.0,53.28,122.22,296.0,2017.0,2.0,-18.871428571428574
50246.0,52.21,124.43,361.90000000000003,2017.0,2.0,-15.992857142857142
50247.0,52.02,123.34,514.5,2017.0,2.0,-19.00357142857143
50349.0,51.4,124.24,501.5,2017.0,2.0,-16.617857142857144
50353.0,51.44,126.38,173.9,2017.0,2.0,-17.514285714285716
50425.0,50.15,120.11,581.4,2017.0,2.0,-21.021428571428572
50431.0,50.47,121.31,717.0,2017.0,2.0,-19.603571428571428
50434.0,50.29,121.41,732.6,2017.0,2.0,-20.08571428571429
50442.0,50.24,124.07,371.70000000000005,2017.0,2.0,-13.989285714285714
50445.0,50.35,123.44,423.70000000000005,2017.0,2.0,-13.925
50468.0,50.15,127.27,166.4,2017.0,2.0,-13.714285714285715
50514.0,49.35,117.19,661.8000000000001,2017.0,2.0,-17.90357142857143
50524.0,49.19,119.26,576.6,2017.0,2.0,-19.16785714285714
50525.0,49.09,119.45,620.8000000000001,2017.0,2.0,-19.010714285714286
50526.0,49.17,120.42,668.8000000000001,2017.0,2.0,-19.542857142857144
50527.0,49.15,119.42,649.6,2017.0,2.0,-19.146428571428572
50548.0,49.12,123.43,286.1,2017.0,2.0,-14.35714285714286
50557.0,49.1,125.14,242.20000000000002,2017.0,2.0,-15.135714285714286
50564.0,49.26,127.21,234.5,2017.0,2.0,-14.089285714285715
50566.0,49.33,128.28,116.0,2017.0,2.0,-15.532142857142858
50603.0,48.41,116.49,542.4,2017.0,2.0,-16.325
50618.0,48.13,118.16,642.0,2017.0,2.0,-17.560714285714287
50632.0,48.46,121.55,739.7,2017.0,2.0,-13.596428571428573
50639.0,48.0,122.44,306.5,2017.0,2.0,-8.864285714285714
50645.0,48.29,124.29,195.0,2017.0,2.0,-12.27857142857143
50646.0,48.29,124.51,202.8,2017.0,2.0,-12.964285714285715
50647.0,48.08,123.29,236.20000000000002,2017.0,2.0,-9.725000000000001
50655.0,48.3,126.11,266.8,2017.0,2.0,-15.871428571428574
50656.0,48.15,126.3,278.40000000000003,2017.0,2.0,-15.142857142857142
50658.0,48.03,125.53,236.0,2017.0,2.0,-13.678571428571429
50659.0,48.03,126.14,297.0,2017.0,2.0,-13.196428571428573
50673.0,48.53,130.24,90.4,2017.0,2.0,-17.421428571428574
50674.0,48.34,129.26,404.5,2017.0,2.0,-15.360714285714288
50727.0,47.1,119.56,997.2,2017.0,2.0,-18.864285714285714
50739.0,47.18,123.15,209.3,2017.0,2.0,-9.110714285714286
50741.0,47.56,123.3,185.20000000000002,2017.0,2.0,-9.057142857142857
50742.0,47.48,124.29,162.70000000000002,2017.0,2.0,-11.100000000000001
50745.0,47.23,123.55,147.1,2017.0,2.0,-10.375
50749.0,47.11,124.5,154.60000000000002,2017.0,2.0,-10.782142857142858
50750.0,47.54,125.18,226.4,2017.0,2.0,-12.585714285714287
50755.0,47.37,126.04,249.8,2017.0,2.0,-13.292857142857143
50756.0,47.27,126.52,247.4,2017.0,2.0,-15.464285714285715
50758.0,47.11,125.54,240.0,2017.0,2.0,-12.29642857142857
50767.0,47.14,127.06,202.70000000000002,2017.0,2.0,-13.975000000000001
50772.0,48.06,129.14,288.0,2017.0,2.0,-14.946428571428573
50774.0,47.42,128.5,264.8,2017.0,2.0,-13.557142857142859
50775.0,47.2,130.12,182.3,2017.0,2.0,-12.196428571428571
50776.0,47.34,130.5,83.30000000000001,2017.0,2.0,-11.4
50778.0,47.4,132.32,57.5,2017.0,2.0,-12.310714285714287
50779.0,48.22,134.17,40.0,2017.0,2.0,-12.075000000000001
50787.0,47.19,131.5,62.7,2017.0,2.0,-12.992857142857142
50788.0,47.14,131.59,66.4,2017.0,2.0,-12.342857142857143
50832.0,46.43,122.05,332.6,2017.0,2.0,-8.382142857142858
50833.0,46.43,122.54,187.8,2017.0,2.0,-7.453571428571429
50834.0,46.36,121.13,499.70000000000005,2017.0,2.0,-10.067857142857143
50838.0,46.05,122.03,274.7,2017.0,2.0,-6.892857142857143
50842.0,46.5,124.25,145.4,2017.0,2.0,-9.957142857142857
50844.0,46.24,123.27,138.8,2017.0,2.0,-8.75
50850.0,46.34,125.08,147.20000000000002,2017.0,2.0,-8.935714285714287
50851.0,46.41,126.05,207.4,2017.0,2.0,-11.682142857142857
50852.0,46.49,126.27,169.10000000000002,2017.0,2.0,-12.339285714285715
50853.0,46.37,126.58,179.60000000000002,2017.0,2.0,-11.489285714285714
50854.0,46.23,125.19,149.3,2017.0,2.0,-10.107142857142858
50858.0,46.01,125.48,159.5,2017.0,2.0,-11.396428571428572
50859.0,46.17,126.17,169.3,2017.0,2.0,-12.725000000000001
50861.0,46.53,127.29,182.4,2017.0,2.0,-13.914285714285715
50862.0,46.59,127.59,206.0,2017.0,2.0,-15.067857142857143
50867.0,46.05,127.21,134.1,2017.0,2.0,-13.085714285714287
50871.0,46.44,129.53,95.10000000000001,2017.0,2.0,-11.417857142857144
50873.0,46.47,130.18,82.0,2017.0,2.0,-10.867857142857144
50877.0,46.18,129.35,100.10000000000001,2017.0,2.0,-10.792857142857144
50878.0,47.0,130.43,78.2,2017.0,2.0,-11.896428571428572
50879.0,46.13,130.33,187.0,2017.0,2.0,-10.810714285714287
50880.0,46.44,131.07,102.30000000000001,2017.0,2.0,-9.064285714285715
50884.0,46.38,131.09,175.3,2017.0,2.0,-8.964285714285714
50888.0,46.23,132.1,79.60000000000001,2017.0,2.0,-9.525
50892.0,46.48,134.0,54.400000000000006,2017.0,2.0,-12.375
50913.0,45.43,118.5,865.0,2017.0,2.0,-16.889285714285716
50915.0,45.31,116.58,838.9000000000001,2017.0,2.0,-13.410714285714286
50924.0,45.33,119.39,860.0,2017.0,2.0,-13.850000000000001
50928.0,45.04,120.2,628.3000000000001,2017.0,2.0,-9.610714285714288
50934.0,45.23,121.35,311.70000000000005,2017.0,2.0,-7.092857142857143
50936.0,45.38,122.5,155.3,2017.0,2.0,-7.621428571428571
50937.0,45.04,121.29,282.1,2017.0,2.0,-6.385714285714286
50939.0,45.2,122.49,150.8,2017.0,2.0,-7.389285714285714
50940.0,45.51,123.1,141.1,2017.0,2.0,-8.746428571428572
50945.0,45.3,124.14,138.1,2017.0,2.0,-9.375
50946.0,45.11,124.5,139.8,2017.0,2.0,-8.02857142857143
50948.0,45.0,124.01,146.3,2017.0,2.0,-7.621428571428571
50949.0,45.05,124.52,136.20000000000002,2017.0,2.0,-8.489285714285714
50950.0,45.42,125.15,148.70000000000002,2017.0,2.0,-10.239285714285714
50953.0,45.56,126.34,118.30000000000001,2017.0,2.0,-11.032142857142858
50954.0,45.3,125.05,127.5,2017.0,2.0,-9.775
50955.0,45.24,126.19,168.3,2017.0,2.0,-11.196428571428571
50956.0,46.05,126.46,134.5,2017.0,2.0,-12.432142857142857
50958.0,45.32,126.56,168.20000000000002,2017.0,2.0,-11.646428571428572
50960.0,45.44,127.23,184.20000000000002,2017.0,2.0,-11.325000000000001
50962.0,45.57,128.02,112.10000000000001,2017.0,2.0,-13.003571428571428
50963.0,45.58,128.44,108.60000000000001,2017.0,2.0,-12.935714285714287
50964.0,45.5,128.48,119.30000000000001,2017.0,2.0,-11.817857142857143
50965.0,45.26,128.16,167.20000000000002,2017.0,2.0,-13.332142857142859
50968.0,45.13,127.58,189.70000000000002,2017.0,2.0,-11.971428571428572
50971.0,45.46,131.01,223.5,2017.0,2.0,-9.660714285714286
50973.0,45.45,130.36,234.4,2017.0,2.0,-8.782142857142857
50978.0,45.18,130.55,272.5,2017.0,2.0,-9.060714285714287
50979.0,45.16,130.14,274.7,2017.0,2.0,-10.425
50983.0,45.46,132.58,100.2,2017.0,2.0,-10.29642857142857
50985.0,45.33,131.52,151.70000000000002,2017.0,2.0,-9.196428571428571
50987.0,45.16,131.06,219.9,2017.0,2.0,-8.875
51053.0,48.03,86.24,532.6,2017.0,2.0,-9.575000000000001
51058.0,47.06,87.58,563.3000000000001,2017.0,2.0,-13.85714285714286
51059.0,47.27,85.53,968.2,2017.0,2.0,-8.685714285714287
51060.0,47.42,86.52,473.90000000000003,2017.0,2.0,-11.085714285714287
51068.0,47.07,87.29,497.0,2017.0,2.0,-13.10714285714286
51076.0,47.44,88.05,735.3000000000001,2017.0,2.0,-10.917857142857144
51087.0,47.01,89.31,860.4000000000001,2017.0,2.0,-11.87857142857143
51133.0,46.44,83.0,534.9,2017.0,2.0,-4.642857142857143
51137.0,46.12,82.56,715.4000000000001,2017.0,2.0,-5.492857142857144
51145.0,46.33,83.39,521.6,2017.0,2.0,-5.842857142857143
51156.0,46.49,85.45,1322.1000000000001,2017.0,2.0,-8.635714285714286
51186.0,46.4,90.23,1218.2,2017.0,2.0,-14.042857142857143
51232.0,45.11,82.34,369.8,2017.0,2.0,-10.275
51238.0,44.54,82.04,532.2,2017.0,2.0,-9.971428571428572
51241.0,45.56,83.36,1094.2,2017.0,2.0,-6.367857142857144
51243.0,45.37,84.51,450.3,2017.0,2.0,-10.392857142857144
51288.0,45.22,90.32,1653.7,2017.0,2.0,-8.15357142857143
51328.0,44.1,80.25,722.0,2017.0,2.0,-2.7750000000000004
51329.0,44.03,80.51,640.0,2017.0,2.0,-2.842857142857143
51330.0,44.58,81.01,1357.8000000000002,2017.0,2.0,-9.517857142857144
51334.0,44.34,82.49,329.20000000000005,2017.0,2.0,-10.160714285714286
51346.0,44.26,84.4,478.70000000000005,2017.0,2.0,-9.771428571428572
51352.0,44.51,85.15,337.1,2017.0,2.0,-12.496428571428572
51353.0,45.01,86.06,346.0,2017.0,2.0,-12.79642857142857
51356.0,44.19,86.03,442.90000000000003,2017.0,2.0,-10.65
51357.0,44.2,85.37,522.2,2017.0,2.0,-9.310714285714287
51358.0,44.17,85.49,468.5,2017.0,2.0,-10.539285714285715
51359.0,44.19,86.12,471.40000000000003,2017.0,2.0,-10.3
51365.0,44.12,87.32,440.5,2017.0,2.0,-13.603571428571428
51367.0,44.1,86.51,575.1,2017.0,2.0,-10.310714285714287
51368.0,44.07,87.19,515.7,2017.0,2.0,-12.371428571428572
51369.0,43.58,87.39,600.3000000000001,2017.0,2.0,-8.457142857142857
51377.0,44.1,87.55,547.0,2017.0,2.0,-11.17142857142857
51378.0,44.0,89.1,742.9000000000001,2017.0,2.0,-9.767857142857144
51379.0,44.01,89.34,793.5,2017.0,2.0,-11.692857142857143
51430.0,43.5,81.09,602.6,2017.0,2.0,-3.8607142857142858
51431.0,43.57,81.2,662.5,2017.0,2.0,-2.771428571428572
51433.0,43.48,82.31,1105.3,2017.0,2.0,-4.582142857142857
51434.0,43.58,81.32,770.0,2017.0,2.0,-2.7821428571428575
51435.0,43.28,82.14,774.9000000000001,2017.0,2.0,-3.607142857142857
51436.0,43.27,83.18,928.2,2017.0,2.0,-2.396428571428572
51437.0,43.09,81.08,1851.0,2017.0,2.0,-8.071428571428571
51438.0,43.11,81.46,1210.4,2017.0,2.0,-5.742857142857144
51463.0,43.47,87.39,935.0,2017.0,2.0,-8.039285714285715
51465.0,43.29,87.06,1871.8000000000002,2017.0,2.0,-7.842857142857143
51467.0,42.46,86.2,1732.4,2017.0,2.0,-3.95
51468.0,43.06,86.5,3539.0,2017.0,2.0,-11.589285714285715
51469.0,43.27,87.11,1930.0,2017.0,2.0,-6.960714285714286
51470.0,43.53,88.07,1942.5,2017.0,2.0,-9.5
51477.0,43.21,88.19,1103.5,2017.0,2.0,-4.310714285714286
51482.0,43.5,90.17,1271.5,2017.0,2.0,-8.307142857142857
51495.0,43.13,91.44,721.4000000000001,2017.0,2.0,1.0857142857142859
51526.0,42.14,88.13,922.4000000000001,2017.0,2.0,-1.3464285714285715
51542.0,43.02,84.09,2458.0,2017.0,2.0,-18.428571428571427
51559.0,42.19,86.24,1100.9,2017.0,2.0,-0.8285714285714287
51567.0,42.05,86.34,1055.3,2017.0,2.0,-1.1107142857142858
51568.0,42.15,86.48,1085.4,2017.0,2.0,-1.3714285714285714
51571.0,42.46,88.36,49.5,2017.0,2.0,3.4000000000000004
51572.0,42.5,89.15,-48.7,2017.0,2.0,3.7214285714285715
51573.0,42.57,89.14,39.300000000000004,2017.0,2.0,4.671428571428572
51581.0,42.51,90.14,398.6,2017.0,2.0,1.6214285714285717
51627.0,41.13,79.14,1395.8000000000002,2017.0,2.0,-0.37857142857142856
51628.0,41.07,80.23,1107.1000000000001,2017.0,2.0,1.3142857142857143
51629.0,41.16,80.14,1133.1000000000001,2017.0,2.0,1.6428571428571428
51633.0,41.47,81.54,1229.2,2017.0,2.0,-1.1285714285714288
51636.0,41.33,82.39,1009.8000000000001,2017.0,2.0,0.18214285714285716
51639.0,41.14,82.47,980.4000000000001,2017.0,2.0,1.885714285714286
51642.0,41.49,84.16,982.0,2017.0,2.0,0.6785714285714286
51644.0,41.43,82.58,1081.9,2017.0,2.0,0.6821428571428572
51655.0,41.21,86.16,884.9000000000001,2017.0,2.0,0.40714285714285714
51656.0,41.44,85.49,899.8000000000001,2017.0,2.0,0.41428571428571437
51701.0,40.31,75.24,3504.4,2017.0,2.0,-13.442857142857143
51704.0,39.43,76.1,1298.7,2017.0,2.0,2.1321428571428576
51705.0,39.43,75.15,2175.7000000000003,2017.0,2.0,-3.85
51707.0,39.3,76.47,1204.7,2017.0,2.0,2.017857142857143
51708.0,39.09,75.57,1325.1000000000001,2017.0,2.0,1.3357142857142859
51709.0,39.29,75.45,1385.6000000000001,2017.0,2.0,1.4964285714285714
51711.0,40.56,78.27,1985.1000000000001,2017.0,2.0,-3.7892857142857146
51716.0,39.48,78.34,1116.5,2017.0,2.0,2.5071428571428576
51717.0,39.15,76.47,1206.3,2017.0,2.0,2.3000000000000003
51720.0,40.3,79.03,1161.8,2017.0,2.0,1.6107142857142858
51722.0,40.39,80.24,1044.3,2017.0,2.0,1.442857142857143
51730.0,40.33,81.16,1012.2,2017.0,2.0,1.4071428571428573
51747.0,39.0,83.4,1099.3,2017.0,2.0,-0.17500000000000002
51765.0,40.38,87.42,846.0,2017.0,2.0,1.0857142857142859
51777.0,39.02,88.1,887.7,2017.0,2.0,1.010714285714286
51802.0,38.56,76.1,1297.5,2017.0,2.0,2.021428571428572
51804.0,37.46,75.14,3090.1000000000004,2017.0,2.0,-7.935714285714287
51810.0,38.55,77.38,1178.2,2017.0,2.0,2.6142857142857143
51811.0,38.26,77.16,1231.2,2017.0,2.0,2.5142857142857142
51814.0,37.55,77.24,1360.4,2017.0,2.0,2.492857142857143
51815.0,38.12,77.16,1274.7,2017.0,2.0,2.410714285714286
51818.0,37.37,78.17,1375.4,2017.0,2.0,2.1750000000000003
51826.0,37.01,80.48,1336.5,2017.0,2.0,2.725
51827.0,37.1,79.38,1348.9,2017.0,2.0,1.2892857142857144
51828.0,37.08,79.56,1375.0,2017.0,2.0,3.0571428571428574
51829.0,37.03,80.1,1295.6000000000001,2017.0,2.0,2.6321428571428576
51839.0,37.04,82.43,1409.5,2017.0,2.0,1.9607142857142859
51855.0,38.09,85.33,1247.2,2017.0,2.0,0.8642857142857143
51886.0,38.15,90.51,2944.8,2017.0,2.0,-3.4142857142857146
51931.0,36.51,81.39,1422.0,2017.0,2.0,1.8142857142857143
52101.0,43.36,93.03,1679.4,2017.0,2.0,-10.117857142857144
52112.0,43.45,94.59,479.0,2017.0,2.0,-2.242857142857143
52118.0,43.16,94.42,1728.6000000000001,2017.0,2.0,-6.87857142857143
52203.0,42.49,93.31,737.2,2017.0,2.0,-0.4678571428571429
52267.0,41.57,101.04,940.5,2017.0,2.0,-1.8964285714285716
52313.0,41.32,94.4,1573.8000000000002,2017.0,2.0,-3.557142857142857
52323.0,41.48,97.02,1770.4,2017.0,2.0,-5.9750000000000005
52378.0,41.22,102.22,960.0,2017.0,2.0,-2.6964285714285716
52418.0,40.09,94.41,1139.0,2017.0,2.0,0.05714285714285714
52424.0,40.32,95.47,1170.9,2017.0,2.0,-0.9071428571428571
52436.0,40.16,97.02,1526.0,2017.0,2.0,-3.282142857142857
52446.0,40.18,99.31,1177.4,2017.0,2.0,-2.0321428571428575
52447.0,40.0,98.53,1270.5,2017.0,2.0,-1.8357142857142859
52495.0,40.1,104.48,1323.9,2017.0,2.0,-4.592857142857143
52515.0,39.31,94.52,2137.2000000000003,2017.0,2.0,-2.7321428571428577
52533.0,39.46,98.29,1477.2,2017.0,2.0,-2.289285714285714
52546.0,39.22,99.5,1332.2,2017.0,2.0,-1.2892857142857144
52557.0,39.09,100.1,1453.7,2017.0,2.0,-1.3035714285714288
52575.0,39.25,102.47,1239.5,2017.0,2.0,-2.7071428571428573
52576.0,39.13,101.41,1510.1000000000001,2017.0,2.0,-1.25
