区站号,纬度_x,经度_x,观测场拔海高度,年,月,日最高气温,日最低气温,温差,城市
50246.0,52.21,124.43,361.9,2017.0,7.0,311.0,121.0,246.0,大兴安岭地区
50425.0,50.15,120.11,581.4,2017.0,7.0,296.0,141.0,216.0,呼伦贝尔
50656.0,48.15,126.3,278.40000000000003,2017.0,7.0,294.0,165.0,196.0,黑河
50745.0,47.23,123.55,147.1,2017.0,7.0,303.0,185.0,152.0,齐齐哈尔
50774.0,47.42,128.5,264.8,2017.0,7.0,257.0,165.0,183.0,伊春
50776.0,47.34,130.5,83.30000000000003,2017.0,7.0,258.0,180.0,157.0,鹤岗
50788.0,47.14,131.59,66.4,2017.0,7.0,264.0,190.0,128.0,佳木斯
50842.0,46.5,124.25,145.4,2017.0,7.0,299.0,189.0,144.0,大庆
50853.0,46.37,126.58,179.60000000000005,2017.0,7.0,299.0,203.0,141.0,绥化
50888.0,46.23,132.1,79.60000000000002,2017.0,7.0,272.0,162.0,166.0,双鸭山
50948.0,45.0,124.01,146.3,2017.0,7.0,308.0,209.0,148.0,松原
50963.0,45.58,128.44,108.6,2017.0,7.0,249.0,192.0,160.0,哈尔滨
50973.0,45.45,130.36,234.4,2017.0,7.0,269.0,188.0,148.0,七台河
50978.0,45.18,130.55,272.5,2017.0,7.0,264.0,191.0,153.0,鸡西
52533.0,39.46,98.29,1477.2,2017.0,7.0,306.0,195.0,185.0,嘉峪关
52533.0,39.46,98.29,1477.2,2017.0,7.0,306.0,195.0,185.0,酒泉
52546.0,39.22,99.5,1332.2,2017.0,7.0,322.0,189.0,225.0,张掖
52576.0,39.13,101.41,1510.1,2017.0,7.0,353.0,247.0,175.0,阿拉善盟
52657.0,38.11,100.15,2787.4,2017.0,7.0,259.0,73.0,201.0,海北藏族自治州
52674.0,38.13,101.56,2093.9,2017.0,7.0,287.0,136.0,199.0,金昌
52679.0,37.55,102.4,1531.5,2017.0,7.0,341.0,184.0,198.0,武威
52713.0,37.51,95.21,3173.2000000000007,2017.0,7.0,228.0,132.0,154.0,海西蒙古族藏族自治州
52856.0,36.16,100.37,2835.0,2017.0,7.0,267.0,94.0,191.0,海南藏族自治州
52866.0,36.44,101.45,2295.2000000000007,2017.0,7.0,295.0,97.0,238.0,西宁
52874.0,36.29,102.25,2021.0,2017.0,7.0,306.0,137.0,191.0,海东
52889.0,36.03,103.53,1517.2,2017.0,7.0,340.0,171.0,181.0,兰州
52895.0,36.34,104.41,1398.2,2017.0,7.0,341.0,193.0,213.0,平凉（靖远）
52974.0,35.33,102.02,2475.0,2017.0,7.0,279.0,112.0,191.0,黄南藏族自治州
52984.0,35.35,103.11,1917.2,2017.0,7.0,309.0,115.0,227.0,临夏回族自治州
52986.0,35.22,103.52,1893.8,2017.0,7.0,298.0,98.0,239.0,定西
