区站号,纬度,经度,观测场拔海高度,年,月,日最高气温,日最低气温,温差
50136.0,52.58,122.31,438.5,2017.0,5.0,188.0,-13.0,325.0
50137.0,53.28,122.22,296.0,2017.0,5.0,175.0,-6.0,302.0
50246.0,52.21,124.43,361.90000000000003,2017.0,5.0,212.0,-21.0,293.0
50247.0,52.02,123.34,514.5,2017.0,5.0,213.0,-28.0,333.0
50349.0,51.4,124.24,501.5,2017.0,5.0,226.0,-42.0,312.0
50353.0,51.44,126.38,173.9,2017.0,5.0,246.0,-19.0,265.0
50425.0,50.15,120.11,581.4,2017.0,5.0,258.0,49.0,278.0
50431.0,50.47,121.31,717.0,2017.0,5.0,240.0,-32.0,275.0
50434.0,50.29,121.41,732.6,2017.0,5.0,238.0,-55.0,293.0
50442.0,50.24,124.07,371.70000000000005,2017.0,5.0,263.0,-21.0,284.0
50445.0,50.35,123.44,423.70000000000005,2017.0,5.0,262.0,-23.0,285.0
50468.0,50.15,127.27,166.4,2017.0,5.0,242.0,24.0,218.0
50514.0,49.35,117.19,661.8000000000001,2017.0,5.0,285.0,14.0,271.0
50524.0,49.19,119.26,576.6,2017.0,5.0,262.0,68.0,257.0
50525.0,49.09,119.45,620.8000000000001,2017.0,5.0,258.0,64.0,256.0
50526.0,49.17,120.42,668.8000000000001,2017.0,5.0,246.0,-9.0,267.0
50527.0,49.15,119.42,649.6,2017.0,5.0,257.0,76.0,249.0
50548.0,49.12,123.43,286.1,2017.0,5.0,277.0,-5.0,282.0
50557.0,49.1,125.14,242.20000000000002,2017.0,5.0,263.0,7.0,256.0
50564.0,49.26,127.21,234.5,2017.0,5.0,240.0,-5.0,245.0
50566.0,49.33,128.28,116.0,2017.0,5.0,235.0,6.0,235.0
50603.0,48.41,116.49,542.4,2017.0,5.0,294.0,61.0,245.0
50618.0,48.13,118.16,642.0,2017.0,5.0,262.0,68.0,218.0
50632.0,48.46,121.55,739.7,2017.0,5.0,250.0,-15.0,266.0
50639.0,48.0,122.44,306.5,2017.0,5.0,286.0,22.0,264.0
50645.0,48.29,124.29,195.0,2017.0,5.0,269.0,46.0,240.0
50646.0,48.29,124.51,202.8,2017.0,5.0,266.0,78.0,241.0
50647.0,48.08,123.29,236.20000000000002,2017.0,5.0,286.0,42.0,244.0
50655.0,48.3,126.11,266.8,2017.0,5.0,252.0,-14.0,266.0
50656.0,48.15,126.3,278.40000000000003,2017.0,5.0,249.0,26.0,223.0
50658.0,48.03,125.53,236.0,2017.0,5.0,252.0,32.0,220.0
50659.0,48.03,126.14,297.0,2017.0,5.0,246.0,71.0,202.0
50673.0,48.53,130.24,90.4,2017.0,5.0,230.0,-21.0,281.0
50674.0,48.34,129.26,404.5,2017.0,5.0,205.0,-31.0,262.0
50727.0,47.1,119.56,997.2,2017.0,5.0,234.0,-24.0,277.0
50739.0,47.18,123.15,209.3,2017.0,5.0,292.0,55.0,237.0
50741.0,47.56,123.3,185.20000000000002,2017.0,5.0,293.0,45.0,248.0
50742.0,47.48,124.29,162.70000000000002,2017.0,5.0,274.0,54.0,220.0
50745.0,47.23,123.55,147.1,2017.0,5.0,279.0,95.0,195.0
50749.0,47.11,124.5,154.60000000000002,2017.0,5.0,262.0,70.0,208.0
50750.0,47.54,125.18,226.4,2017.0,5.0,258.0,61.0,207.0
50755.0,47.37,126.04,249.8,2017.0,5.0,248.0,43.0,214.0
50756.0,47.27,126.52,247.4,2017.0,5.0,246.0,38.0,225.0
50758.0,47.11,125.54,240.0,2017.0,5.0,253.0,54.0,208.0
50767.0,47.14,127.06,202.70000000000002,2017.0,5.0,242.0,28.0,214.0
50772.0,48.06,129.14,288.0,2017.0,5.0,217.0,-27.0,268.0
50774.0,47.42,128.5,264.8,2017.0,5.0,212.0,-19.0,243.0
50775.0,47.2,130.12,182.3,2017.0,5.0,221.0,4.0,266.0
50776.0,47.34,130.5,83.30000000000001,2017.0,5.0,222.0,30.0,215.0
50778.0,47.4,132.32,57.5,2017.0,5.0,190.0,16.0,190.0
50779.0,48.22,134.17,40.0,2017.0,5.0,143.0,24.0,161.0
50787.0,47.19,131.5,62.7,2017.0,5.0,191.0,16.0,182.0
50788.0,47.14,131.59,66.4,2017.0,5.0,197.0,27.0,240.0
50832.0,46.43,122.05,332.6,2017.0,5.0,285.0,6.0,301.0
50833.0,46.43,122.54,187.8,2017.0,5.0,288.0,33.0,255.0
50834.0,46.36,121.13,499.70000000000005,2017.0,5.0,276.0,26.0,289.0
50838.0,46.05,122.03,274.7,2017.0,5.0,280.0,58.0,265.0
50842.0,46.5,124.25,145.4,2017.0,5.0,263.0,81.0,197.0
50844.0,46.24,123.27,138.8,2017.0,5.0,273.0,58.0,215.0
50850.0,46.34,125.08,147.20000000000002,2017.0,5.0,256.0,60.0,201.0
50851.0,46.41,126.05,207.4,2017.0,5.0,253.0,48.0,205.0
50852.0,46.49,126.27,169.10000000000002,2017.0,5.0,252.0,24.0,228.0
50853.0,46.37,126.58,179.60000000000002,2017.0,5.0,244.0,36.0,208.0
50854.0,46.23,125.19,149.3,2017.0,5.0,261.0,29.0,232.0
50858.0,46.01,125.48,159.5,2017.0,5.0,254.0,24.0,230.0
50859.0,46.17,126.17,169.3,2017.0,5.0,251.0,18.0,233.0
50861.0,46.53,127.29,182.4,2017.0,5.0,236.0,38.0,198.0
50862.0,46.59,127.59,206.0,2017.0,5.0,221.0,13.0,208.0
50867.0,46.05,127.21,134.1,2017.0,5.0,243.0,1.0,242.0
50871.0,46.44,129.53,95.10000000000001,2017.0,5.0,230.0,17.0,213.0
