区站号,纬度,经度,观测场拔海高度,年,月,平均风速
50136.0,52.58,122.31,438.5,2017.0,10.0,1.906451612903226
50137.0,53.28,122.23,296.0,2017.0,10.0,1.845161290322581
50246.0,52.21,124.43,361.90000000000003,2017.0,10.0,2.2225806451612904
50247.0,52.02,123.34,514.5,2017.0,10.0,1.603225806451613
50349.0,51.4,124.24,501.5,2017.0,10.0,1.8612903225806452
50353.0,51.44,126.38,173.9,2017.0,10.0,3.012903225806452
50425.0,50.15,120.11,581.4,2017.0,10.0,2.0161290322580645
50431.0,50.47,121.31,717.0,2017.0,10.0,1.664516129032258
50434.0,50.29,121.41,732.6,2017.0,10.0,2.2354838709677423
50442.0,50.24,124.07,371.70000000000005,2017.0,10.0,2.2838709677419358
50445.0,50.35,123.44,423.70000000000005,2017.0,10.0,1.793548387096774
50468.0,50.15,127.28,166.4,2017.0,10.0,2.9161290322580644
50514.0,49.35,117.19,661.8000000000001,2017.0,10.0,4.158064516129032
50524.0,49.19,119.26,576.6,2017.0,10.0,2.245161290322581
50525.0,49.09,119.45,620.8000000000001,2017.0,10.0,2.693548387096774
50526.0,49.17,120.42,668.8000000000001,2017.0,10.0,2.074193548387097
50527.0,49.15,119.42,649.6,2017.0,10.0,4.767741935483872
50548.0,49.12,123.43,286.1,2017.0,10.0,1.9483870967741936
50557.0,49.09,125.14,242.20000000000002,2017.0,10.0,3.0903225806451613
50564.0,49.27,127.22,234.5,2017.0,10.0,2.0967741935483875
50566.0,49.33,128.28,116.0,2017.0,10.0,2.6548387096774193
50603.0,48.41,116.49,542.4,2017.0,10.0,4.72258064516129
50618.0,48.13,118.16,642.0,2017.0,10.0,2.7612903225806456
50632.0,48.46,121.55,739.7,2017.0,10.0,2.767741935483871
50639.0,48.0,122.44,306.5,2017.0,10.0,2.0258064516129033
50645.0,48.29,124.29,195.0,2017.0,10.0,2.1903225806451614
50646.0,48.3,124.52,202.8,2017.0,10.0,2.774193548387097
50647.0,48.08,123.29,236.20000000000002,2017.0,10.0,2.232258064516129
50655.0,48.3,126.11,266.8,2017.0,10.0,2.7806451612903227
50656.0,48.15,126.3,278.40000000000003,2017.0,10.0,3.1
50658.0,48.03,125.53,236.0,2017.0,10.0,2.467741935483871
50659.0,48.03,126.14,297.0,2017.0,10.0,3.3096774193548386
50673.0,48.53,130.24,90.4,2017.0,10.0,2.7774193548387096
50674.0,48.34,129.26,404.5,2017.0,10.0,2.7580645161290325
50727.0,47.1,119.56,997.2,2017.0,10.0,2.3774193548387097
50739.0,47.18,123.15,209.3,2017.0,10.0,3.064516129032258
50741.0,47.56,123.3,185.20000000000002,2017.0,10.0,2.7516129032258068
50742.0,47.48,124.29,162.70000000000002,2017.0,10.0,2.435483870967742
50745.0,47.23,123.55,147.1,2017.0,10.0,2.5870967741935487
50749.0,47.11,124.5,154.60000000000002,2017.0,10.0,2.829032258064516
50750.0,47.54,125.18,226.4,2017.0,10.0,2.8806451612903228
50755.0,47.37,126.04,249.8,2017.0,10.0,3.0580645161290327
50756.0,47.27,126.52,247.4,2017.0,10.0,3.145161290322581
50758.0,47.09,125.54,240.0,2017.0,10.0,3.441935483870968
50767.0,47.14,127.06,202.70000000000002,2017.0,10.0,2.738709677419355
50772.0,48.06,129.14,288.0,2017.0,10.0,2.23
50774.0,47.42,128.5,264.8,2017.0,10.0,2.641935483870968
50775.0,47.2,130.12,182.3,2017.0,10.0,2.4612903225806453
50776.0,47.34,130.5,83.30000000000001,2017.0,10.0,2.4612903225806453
50778.0,47.4,132.32,57.5,2017.0,10.0,3.9000000000000004
50779.0,48.22,134.17,40.0,2017.0,10.0,3.9806451612903224
50787.0,47.19,131.5,62.7,2017.0,10.0,4.054838709677419
50788.0,47.14,131.59,66.4,2017.0,10.0,3.945161290322581
50832.0,46.43,122.05,332.6,2017.0,10.0,2.925806451612903
50833.0,46.43,122.54,187.8,2017.0,10.0,2.5806451612903225
50834.0,46.36,121.13,499.70000000000005,2017.0,10.0,2.745161290322581
50838.0,46.05,122.03,274.7,2017.0,10.0,2.029032258064516
50842.0,46.5,124.25,145.4,2017.0,10.0,3.045161290322581
50844.0,46.24,123.27,138.8,2017.0,10.0,3.296774193548387
50850.0,46.34,125.08,147.20000000000002,2017.0,10.0,1.9258064516129032
50851.0,46.41,126.05,207.4,2017.0,10.0,3.1258064516129034
50852.0,46.49,126.27,169.10000000000002,2017.0,10.0,2.7612903225806456
50853.0,46.37,126.58,179.60000000000002,2017.0,10.0,2.3483870967741938
50854.0,46.23,125.19,149.3,2017.0,10.0,2.7193548387096778
50858.0,46.01,125.48,159.5,2017.0,10.0,3.7645161290322586
50859.0,46.17,126.17,169.3,2017.0,10.0,3.1225806451612907
50861.0,46.53,127.29,182.4,2017.0,10.0,3.6258064516129034
50862.0,46.59,127.59,206.0,2017.0,10.0,2.893548387096774
50867.0,46.05,127.21,134.1,2017.0,10.0,3.509677419354839
50871.0,46.44,129.53,95.10000000000001,2017.0,10.0,2.7258064516129035
50873.0,46.47,130.18,82.0,2017.0,10.0,2.541935483870968
50877.0,46.18,129.35,100.10000000000001,2017.0,10.0,2.7548387096774194
50878.0,47.0,130.43,78.2,2017.0,10.0,2.612903225806452
50879.0,46.13,130.33,187.0,2017.0,10.0,3.445161290322581
50880.0,46.44,131.07,102.30000000000001,2017.0,10.0,2.490322580645161
50884.0,46.39,131.1,175.3,2017.0,10.0,2.2419354838709675
50888.0,46.23,132.1,79.60000000000001,2017.0,10.0,3.5064516129032257
50892.0,46.48,134.0,54.400000000000006,2017.0,10.0,2.7258064516129035
50913.0,45.43,118.5,865.0,2017.0,10.0,2.6161290322580646
50915.0,45.31,116.58,838.9000000000001,2017.0,10.0,2.645161290322581
50924.0,45.33,119.39,860.0,2017.0,10.0,3.6096774193548384
50928.0,45.04,120.2,628.3000000000001,2017.0,10.0,3.503225806451613
50934.0,45.23,121.35,311.70000000000005,2017.0,10.0,2.9419354838709677
50936.0,45.38,122.5,155.3,2017.0,10.0,2.57741935483871
50937.0,45.04,121.29,282.1,2017.0,10.0,3.9225806451612906
50939.0,45.2,122.49,150.8,2017.0,10.0,2.609677419354839
50940.0,45.51,123.1,141.1,2017.0,10.0,3.1258064516129034
50945.0,45.3,124.14,138.1,2017.0,10.0,3.4064516129032256
50946.0,45.11,124.5,139.8,2017.0,10.0,2.667741935483871
50948.0,45.0,124.01,146.3,2017.0,10.0,2.909677419354839
